institution,canvas_host,country,curated
"Said Business School, University of Oxford",canvas.sbs.ox.ac.uk,GB,0
St George’s University of London,canvas.sgul.ac.uk,GB,0
Swansea University,canvas.swansea.ac.uk,GB,0
The Engineering & Design Institute London,learn.tedi-london.ac.uk,GB,0
The Institute of Cancer Research,canvas.icr.ac.uk,GB,0
The University of Wolverhampton,canvas.wlv.ac.uk,GB,0
University of Birmingham,canvas.bham.ac.uk,GB,1
University of Edinburgh,edinburgh.instructure.com,GB,1
University of Hull,canvas.hull.ac.uk,GB,0
University of Liverpool,canvas.liverpool.ac.uk,GB,1
University of Manchester,canvas.manchester.ac.uk,GB,1
University of Oxford,canvas.ox.ac.uk,GB,1
University of St Andrews,st-andrews.instructure.com,GB,1
University of Sussex,canvas.sussex.ac.uk,GB,1
University of York,york1.instructure.com,GB,1
Ashesi University,ashesi.instructure.com,GH,1
City University of Hong Kong,canvas.cityu.edu.hk,HK,1
Hong Kong Academy of Medicine - non-eHKAM ID,lms.hkam.org.hk,HK,0
Hong Kong Polytechnic University,canvas.polyu.edu.hk,HK,1
Hong Kong University of Science and Technology,canvas.ust.hk,HK,1
University of Hong Kong,hku.instructure.com,HK,1
Universitas Gadjah Mada,ugm.instructure.com,ID,1
Universitas Pembangunan Jaya,universitaspembangunanjaya.instructure.com,ID,0
University College Cork,ucc.instructure.com,IE,1
Inventure Academy,inventureacademy.instructure.com,IN,1
Krea University,canvas.krea.edu.in,IN,1
Rishihood University,rishihood.instructure.com,IN,1
XLRI Jamshedpur,xlri.instructure.com,IN,1
Háskólinn í Reykjavík (Reykjavik University),reykjavik.instructure.com,IS,1
Listaháskóli Íslands,lhi.instructure.com,IS,0
Menntaskolinn a Egilsstodum,me.instructure.com,IS,0
Menntaskólinn á Akureyri,canvas.ma.is,IS,0
Verkmenntaskólinn á Akureyri,canvas.vma.is,IS,0
Hitotsubashi University,canvas.ics.hit-u.ac.jp,JP,1
Parami University,canvas.parami.edu.mm,MM,0
COLEGIO DE IMAGEN PÚBLICA,clases.imagenpublica.mx,MX,0
Aeres Hogeschool,aeres.instructure.com,NL,0
Arteveldehogeschool,arteveldehogeschool.instructure.com,NL,0
Christelijke Hogeschool Ede,che.instructure.com,NL,0
Erasmus Universiteit Rotterdam (Erasmus University Rotterdam),canvas.eur.nl,NL,1
Erasmushogeschool Brussel,ehb.instructure.com,NL,0
Hogeschool Arnhem en Nijmegen,han.instructure.com,NL,0
Hogeschool KPZ,kpz.instructure.com,NL,0
Hogeschool Utrecht,canvas.hu.nl,NL,0
Maastricht University,canvas.maastrichtuniversity.nl,NL,1
Summa College,canvas.summacollege.nl,NL,0
Technische Universiteit Eindhoven (Eindhoven University of Technology),eindhoven.instructure.com,NL,1
Tilburg University,tilburguniversity.instructure.com,NL,1
Universiteit Twente (University of Twente),canvas.utwente.nl,NL,1
Universiteit van Amsterdam (University of Amsterdam),canvas.uva.nl,NL,1
VU - Vrije Universiteit Amsterdam,canvas.vu.nl,NL,0
Høgskolen i Molde,himolde.instructure.com,NO,0
Høgskolen i Østfold,hiof.instructure.com,NO,0
NMH Norges Musikkhøgskole,nmh.instructure.com,NO,0
Nord universitet (Nord University),nord.instructure.com,NO,1
Norges idrettshøgskole-Extern,nih.instructure.com,NO,0
Norges miljø- og biovitenskapelige universitet,nmbu.instructure.com,NO,0
Norges teknisk-naturvitenskapelige universitet (Norwegian University of Science and Technology),ntnu.instructure.com,NO,1
Norskskolen,norskskolen.instructure.com,NO,0
OsloMet,oslomet.instructure.com,NO,1
UiT Norges arktiske universitet (UiT The Arctic University of Norway),uit.instructure.com,NO,1
