institution,canvas_host,country,curated
School District of University City Teachers/Students,ucityschools.instructure.com,US,0
School District U-46,u46.instructure.com,US,0
Scott County Public Schools,scottschools.instructure.com,US,0
Scott County School District,scottcountyms.instructure.com,US,0
Scott County School District 2,scsd2.instructure.com,US,0
Seaside School District,ssd10.instructure.com,US,0
Seattle Colleges,canvas.seattlecolleges.edu,US,0
SEEQS Public Charter School,seeqs.instructure.com,US,0
Seguin ISD,seguinisd.instructure.com,US,0
Seminole County Public Schools,scps.instructure.com,US,0
Seminole State College of Florida,online.seminolestate.edu,US,0
Sequoia Union High School District,sequoia.instructure.com,US,0
Sevier School District,seviersd.instructure.com,US,0
Seward County Community College,sewardcc.instructure.com,US,0
Shakopee Public School District,shakopee.instructure.com,US,0
Shawnee Heights Unified School District 450,usd450.instructure.com,US,0
Shawnee Mission School District,smsd.instructure.com,US,0
Shawnee Public Schools,shawneeps.instructure.com,US,0
Sheboygan Falls School District- Students,sheboyganfalls.instructure.com,US,0
Shelby - Rising City Public SD,srchuskies.instructure.com,US,0
Shenandoah County Public Schools,shenandoahva.instructure.com,US,0
Shepherd ISD,shepherdisd.instructure.com,US,0
Sheridan County School District #2,sheridancsd2.instructure.com,US,0
Sherman ISD,shermanisd.instructure.com,US,0
Shoreline Community College,shoreline.instructure.com,US,0
Shoreline School District,shorelineschools.instructure.com,US,0
Siena College,canvas.siena.edu,US,0
Sierra Sands Unified School District,ssusd.instructure.com,US,0
Silver Falls School District,silverfallsschools.instructure.com,US,0
Simpson County School District,simpsonk12.instructure.com,US,0
Sinclair Community College,elearn.sinclair.edu,US,0
Sioux City Community School District,sccsd.instructure.com,US,0
Sisters School District,sisters.instructure.com,US,0
Skagit Valley Community College,skagit.instructure.com,US,0
Skokie School District 68,skokie68.instructure.com,US,0
Slidell ISD,slidell.instructure.com,US,0
Smoky Valley USD 400,smokyvalley.instructure.com,US,0
Smyth County Public Schools,scsb.instructure.com,US,0
Snohomish School District 201,sno.instructure.com,US,0
Solano Community College,solano.instructure.com,US,0
Sonoran Desert Institute,classroom.sdi.edu,US,0
Sophie B Wright Charter School,sbwcanvas.instructure.com,US,0
South Allegheny School District,southallegheny.instructure.com,US,0
South Central Community School District,scentral.instructure.com,US,0
South College,canvas.south.edu,US,0
South Eastern School District,sesdrams.instructure.com,US,0
South Fayette Township School District,southfayette.instructure.com,US,0
South Louisiana Community College,solacc.instructure.com,US,0
South Middleton School District,bubblers.instructure.com,US,0
South Park School District,sparksd.instructure.com,US,0
South Piedmont Community College,spcc.instructure.com,US,0
South Puget Sound Community College,spscc.instructure.com,US,0
South Spencer County School District,sspencer.instructure.com,US,0
South Texas Independent School District,stisd.instructure.com,US,0
South Tippah School District,stippahk12.instructure.com,US,0
Southeast Community College,southeastcc.instructure.com,US,0
Southern Lehigh School District,slsd.instructure.com,US,0
Southern Methodist University,smu.instructure.com,US,1
Southern Nazarene University,canvas.snu.edu,US,0
Southern State Community College,sscc.instructure.com,US,0
Southwest Virginia Community College,vccs.instructure.com,US,0
Southwestern Oregon Community College,socc.instructure.com,US,0
Sowela Technical Community College,sowela.instructure.com,US,0
Spencer Public Schools,spencer.instructure.com,US,0
Spokane Public Schools,spokaneschools.instructure.com,US,0
Spotsylvania County Public Schools,spotsylvania.instructure.com,US,0
Spring Branch ISD,springbranchisd.instructure.com,US,0
Spring-Ford School District,springford.instructure.com,US,0
Springfield Public Schools,springfieldpublicschools.instructure.com,US,0
Springfield School District,ssdcougars.instructure.com,US,0
Springs Charter School,springscs.instructure.com,US,0
St Francis College,canvas.sfc.edu,US,0
St. Bernard Parish Public Schools,sbpsb.instructure.com,US,0
St. Charles Community College,stchas.instructure.com,US,0
St. Clair County Community College,sc4.instructure.com,US,0
St. Helens School District,sthelens.instructure.com,US,0
St. James R-1 School District,stjschools.instructure.com,US,0
St. Joseph School District,sjsdcanvas.instructure.com,US,0
St. Louis Community College,stlcc.instructure.com,US,0
St. Lucie School District,stlucie.instructure.com,US,0
"St. Mary’s University - San Antonio, TX",stmarytx.instructure.com,US,0
St. Petersburg College,canvas.spcollege.edu,US,0
Stafford County Public Schools,staffordschools.instructure.com,US,0
Stanford University,canvas.stanford.edu,US,1
Stanley-Boyd Area School District,stanleyboyd.instructure.com,US,0
Stanly Community College,stanlycc.instructure.com,US,0
Stanly County School District,stanly.instructure.com,US,0
Stars Hallow High School District,jessicalail.instructure.com,US,0
State College Area School District,scasd.instructure.com,US,0
State Fair Community College,sfccmo.instructure.com,US,0
Stephenville ISD,sville.instructure.com,US,0
Stevens Institute of Technology,sit.instructure.com,US,1
Stokes County Schools NC,stokes.instructure.com,US,0
Sublette County School District #1,sub1.instructure.com,US,0
Sublette County School District #9,sublette9.instructure.com,US,0
Suffolk University,canvas.suffolk.edu,US,0
Sugar Creek Charter School,sugarcreek.instructure.com,US,0
Sugar Salem School District,sugarsalem.instructure.com,US,0
Sultan School District,sultanschools.instructure.com,US,0
Summit Public Schools,summitps.instructure.com,US,0
Sunflower County Consolidated School District,sunflower.instructure.com,US,0
Surry County Public Schools,surryschools.instructure.com,US,0
Susq-Cyber Charter School,susqcyber.instructure.com,US,0
Susquenita School District,susquenita.instructure.com,US,0
Sussex County Community College,sussexccc.instructure.com,US,0
Sussex County Public Schools,sussexschools.instructure.com,US,0
Sweet Home School District #55,shsd.instructure.com,US,0
Syosset Central School District,syosset.instructure.com,US,0
Syracuse City School District - Clever,scsd.instructure.com,US,0
Tacoma Community College,tacomacc.instructure.com,US,0
Taft City School District,taftcity.instructure.com,US,0
Taft Union High School District,taftunion.instructure.com,US,0
Tarrant County College District,canvas.tccd.edu,US,0
Taylor County School District,taylorfl.instructure.com,US,0
Tazewell County Public Schools,tcpsva.instructure.com,US,0
Tecumseh School District,tecumseh.instructure.com,US,0
Tehachapi Unified School District,teh.instructure.com,US,0
Temecula Valley Unified School District,temecula.instructure.com,US,0
Temple University,templeu.instructure.com,US,1
Tennessee Tech University,canvas.tntech.edu,US,0
Terra Community College,terra.instructure.com,US,0
Teton County School District #1 Parent Login,tcsd.instructure.com,US,0
Texas A&M University,canvas.tamu.edu,US,1
Texas A&M University - Corpus Christi,canvas.tamucc.edu,US,0
Texas A&M University-Victoria,canvas.uhv.edu,US,0
Texas City ISD,tcisd.instructure.com,US,0
Texas State Technical College,canvas.tstc.edu,US,0
Texas State University,canvas.txstate.edu,US,0
Texas Tech University,texastech.instructure.com,US,1
The Villages Charter School,vcs.instructure.com,US,0
Thomas Edison State University,courses.tesu.edu,US,0
Three Rivers SD,threerivers.instructure.com,US,0
Tigard-Tualatin School District,ttsd.instructure.com,US,0
Tillamook Bay Community College,tillamookbaycc.instructure.com,US,0
Tillamook School District 9,tillamooksd.instructure.com,US,0
Tippecanoe School District,tsc.instructure.com,US,0
Titusville SD,gorockets.instructure.com,US,0
Tohono O'Odham Community College,tocc.instructure.com,US,0
Tolleson Union High School District,tuhsd.instructure.com,US,0
Tooele County School District,tooeleschools.instructure.com,US,0
Transylvania University,canvas.transy.edu,US,0
Treasure Valley Community College,tvcc.instructure.com,US,0
Trinity International University,canvas.tiu.edu,US,0
Trinity University,canvas.trinity.edu,US,0
Trinity Valley Community College,trinityvalley.instructure.com,US,0
Trivium Charter School Network,triviumcharter.instructure.com,US,0
Troy Area School District,troysd.instructure.com,US,0
Truckee Meadows Community College,tmcc.instructure.com,US,0
Tucson Unified School District,tusd1.instructure.com,US,0
Tufts University,canvas.tufts.edu,US,1
Tulsa Public Schools- Staff/Students,tulsaps.instructure.com,US,0
Tunkhannock Area School District,tasd.instructure.com,US,0
Tupelo Public School District,tupelo.instructure.com,US,0
Turtle Mountain Community College,tm.instructure.com,US,0
Tyler ISD,tylerisd.instructure.com,US,0
Tyrrell County Schools,tycochs.instructure.com,US,0
UC Davis Continuing and Professional Education,cpeonline.ucdavis.edu,US,0
UCAM - Universidad Católica de Murcia,canvas.ucam.edu,US,0
"UCLA Extension - University of California, Los Angeles",my.uclaextension.edu,US,0
"UCNJ Union College of Union County, NJ",unioncc.instructure.com,US,0
Uinta County School District #1,uinta1.instructure.com,US,0
UMPQUA Community College,umpqua.instructure.com,US,0
Uniformed Services University,canvas.usuhs.edu,US,0
Union Academy Charter School,unionacademy.instructure.com,US,0
Union County Public Schools,ucps.instructure.com,US,0
Union CSD,union.instructure.com,US,0
Union Presbyterian Seminary,canvas.upsem.edu,US,0
Union Public School District,unionpublic.instructure.com,US,0
Union Public Schools,unionps.instructure.com,US,0
Union Ridge School District 86,urs86.instructure.com,US,0
Union-North United School District Students/Teachers,unorth.instructure.com,US,0
Unionville Chadds Ford School District,ucfsd.instructure.com,US,0
Unity School District,unityk12.instructure.com,US,0
Universitat Oberta de Catalunya,aula.uoc.edu,US,0
University of Alaska,canvas.alaska.edu,US,1
University of California,cole2.uconline.edu,US,0
University of California Davis,canvas.ucdavis.edu,US,1
University of California Los Angeles,bruinlearn.ucla.edu,US,1
University of California Merced,catcourses.ucmerced.edu,US,0
University of California Riverside,elearn.ucr.edu,US,1
University of Central Florida,webcourses.ucf.edu,US,1
University of Chicago,canvas.uchicago.edu,US,1
University of Colorado at Colorado Springs,canvas.uccs.edu,US,0
University of Colorado Boulder,canvas.colorado.edu,US,1
University of Dayton,canvas.udayton.edu,US,0
University of Denver,canvas.du.edu,US,1
University of Findlay,canvas.findlay.edu,US,0
University of Idaho,canvas.uidaho.edu,US,0
University of Illinois at Chicago,canvas.uic.edu,US,0
University of Illinois Urbana-Champaign,canvas.illinois.edu,US,1
University of Kansas,canvas.ku.edu,US,1
University of Kansas - kuconnect.ku.edu,kuconnect.ku.edu,US,0
University of Mary Hardin-Baylor,mycourses.umhb.edu,US,0
University of Mary Washington,canvas.umw.edu,US,0
University of Massachusetts Lowell,canvas.uml.edu,US,0
University of Miami,miami.instructure.com,US,1
University of Michigan,m.canvas.umich.edu,US,1
University of Michigan - Center of Academic Innovation,courses.online.umich.edu,US,0
University of Michigan - Dearborn,canvas.umd.umich.edu,US,0
University of Michigan - Flint,canvas.flint.umich.edu,US,0
University of Minnesota,canvas.umn.edu,US,1
University of Nebraska - Lincoln,canvas.unl.edu,US,0
University of Nevada- Reno,webcampus.unr.edu,US,0
University of New Hampshire,unh.instructure.com,US,1
University of New Haven,canvas.newhaven.edu,US,0
University of New Mexico,canvas.unm.edu,US,1
University of North Carolina at Chapel Hill,uncch.instructure.com,US,1
University of North Carolina at Charlotte,instructure.charlotte.edu,US,0
University of North Texas,unt.instructure.com,US,1
University of Notre Dame,canvas.nd.edu,US,1
University of Oklahoma,canvas.ou.edu,US,1
University of Oregon,canvas.uoregon.edu,US,1
University of Pennsylvania,canvas.upenn.edu,US,1
University of Pittsburgh,pittsburgh.instructure.com,US,1
University of Puget Sound,canvas.pugetsound.edu,US,0
University of South Alabama,usaonline.southalabama.edu,US,0
University of South Florida,usflearn.instructure.com,US,1
University of Southern California (Online),courses.online.usc.edu,US,0
University of St Francis,learn.stfrancis.edu,US,0
University of the Incarnate Word,canvas.uiw.edu,US,0
University of Utah,utah.instructure.com,US,1
University of Virginia,canvas.its.virginia.edu,US,1
University of Virginia Connect,canvasconnect.its.virginia.edu,US,0
University of Washington,canvas.uw.edu,US,1
University of Western States,canvas.uws.edu,US,0
University of Wisconsin Madison,wisconsin-madison.instructure.com,US,1
Upper St. Clair School District,uscsd.instructure.com,US,0
Upshur County Schools,upshur.instructure.com,US,0
Urbandale Community School District,urbandale.instructure.com,US,0
US-West School District,us-west.instructure.com,US,0
USD 480,usd480.instructure.com,US,0
Utah State University,usu.instructure.com,US,1
Uvalde CISD,uvaldecisd.instructure.com,US,0
Valparaiso University,canvas.valpo.edu,US,0
Vance County Schools,vance.instructure.com,US,0
Vance-Granville Community College,canvas.vgcc.edu,US,0
Vancouver Public Schools,vansd.instructure.com,US,0
Ventura USD- Teachers/Students,venturaunified.instructure.com,US,0
Venus ISD,venus.instructure.com,US,0
Verona Area School District,vasd.instructure.com,US,0
Vinton - Shellsburg Community School District,vscsd.instructure.com,US,0
Virginia Beach City Public Schools,vbschools.instructure.com,US,0
Virginia Tech,canvas.vt.edu,US,1
Virtual Horizons Charter School of Utah Oasis XRE,oasisxre.instructure.com,US,0
Vista USD,vistausd.instructure.com,US,0
Volusia County Schools,volusia.instructure.com,US,0
Voyager Academy NC,voyager.instructure.com,US,0
Wahoo Public Schools,wahooschools.instructure.com,US,0
Wake County Public Schools,wcpss.instructure.com,US,0
Wake Forest University,wakeforest.instructure.com,US,1
Wake Technical Community College - Employee/Students,waketech.instructure.com,US,0
Walla Walla Community College,wwcc.instructure.com,US,0
Wallace State Community College Selma,alabama.instructure.com,US,0
Waller ISD,waller.instructure.com,US,0
Walnut Grove School District R5,wgtigers.instructure.com,US,0
Ware Public Schools,ware.instructure.com,US,0
Warren Co School District R3,wcr3.instructure.com,US,0
Warren County Public Schools Students and Teachers,wcps.instructure.com,US,0
Wasco Union High School District,wascouhsd.instructure.com,US,0
Washington County School District,washk12.instructure.com,US,0
Washington County Schools,wcde.instructure.com,US,0
Washington State Community College,wscc.instructure.com,US,0
Washington Unified School District,wusdk12.instructure.com,US,0
Washington University MD Program,canvas.wustl.edu,US,0
Washtenaw Community College,wccnet.instructure.com,US,0
Watauga County Schools NC,watauga.instructure.com,US,0
"Waterford School, UT",waterfordschool.instructure.com,US,0
Watertown City School District,watertown-sd.instructure.com,US,0
Watervliet Public Schools,watervliet.instructure.com,US,0
Waubonsee Community College,waubonsee.instructure.com,US,0
Wauwatosa School District,wauwatosa.instructure.com,US,0
Wayne County Public Schools,waynecounty.instructure.com,US,0
Wayne School District,waynesd.instructure.com,US,0
Wayne State College,canvas.wsc.edu,US,0
Wayne State University,canvas.wayne.edu,US,0
Waynesboro City Public Schools,waynesboro.instructure.com,US,0
Wayzata Public Schools,wayzata.instructure.com,US,0
Weatherford ISD,wisd.instructure.com,US,0
Weber School District,wsd.instructure.com,US,0
Webster Groves School District,wgsd.instructure.com,US,0
Webster University,worldclassroom.webster.edu,US,0
Wenatchee School District,wenatchee.instructure.com,US,0
Wentzville School District,wentzville.instructure.com,US,0
West Allegheny School District - Parent/Guardian,westasd.instructure.com,US,0
West Bend School District,west-bend.instructure.com,US,0
West Bloomfield School District,westbloomfieldsd.instructure.com,US,0
West Burlington Independent School District,wbisd.instructure.com,US,0
West Coast University,canvas.westcoastuniversity.edu,US,0
West Hills Community College District,whccd.instructure.com,US,0
West Morris Regional High School District,wmrhsd.instructure.com,US,0
West Point Consolidated School District,wpcsd.instructure.com,US,0
West Point Public Schools,wpschools.instructure.com,US,0
West Shore Community College,westshore.instructure.com,US,0
West York Area School District -- Google Login,wyasd.instructure.com,US,0
Western Boone County Community School District,weboschools.instructure.com,US,0
Western New England University,kodiak.wne.edu,US,0
Western Wyoming Community College,westernwyoming.instructure.com,US,0
Westlake Academy Charter School,westlakeacademy.instructure.com,US,0
"Westminster College, MO",westminster-mo.instructure.com,US,0
Westmoreland County Public Schools,wmlcps.instructure.com,US,0
Weston County School District #7,weston7.instructure.com,US,0
Weston School District,westonps.instructure.com,US,0
Whatcom Community College,wcc.instructure.com,US,0
White Earth Tribal Community College,wetcc.instructure.com,US,0
White Settlement ISD,wsisd.instructure.com,US,0
Whitesboro ISD,whitesboroisd.instructure.com,US,0
Wilkes County Schools NC,wilkescounty.instructure.com,US,0
William Floyd School District,wfsd.instructure.com,US,0
William James College,canvas.williamjames.edu,US,0
Williams College,glow.williams.edu,US,1
Williamsburg County School District 01,williamsburgcsd.instructure.com,US,0
Williamsburg-James City County Public Schools,wjccschools.instructure.com,US,0
Willis Isd,willisisd.instructure.com,US,0
Windward Community College,windwardcc.instructure.com,US,0
Winfield-Mt Union Community School District,wmucsd.instructure.com,US,0
Winnebago Public Schools,winnebago.instructure.com,US,0
Winnsboro Independent School District,winnsboro.instructure.com,US,0
Winston Salem Forsyth County Public Schools,wsfcs.instructure.com,US,0
Wirt County Schools,wirtcounty.instructure.com,US,0
Wise County Schools,wisek12.instructure.com,US,0
Wiseburn School District Teacher/Student,wiseburn.instructure.com,US,0
Wishkah Valley School District,wishkah.instructure.com,US,0
Wisner - Pilger Public Schools,wisnerpilger.instructure.com,US,0
Woodridge School District 68,woodridge68.instructure.com,US,0
Worcester Polytechnic Institute,canvas.wpi.edu,US,1
Wythe County Public Schools,wythek12.instructure.com,US,0
Xavier University,canvas.xavier.edu,US,0
Yadkin County Schools NC,yadkin.instructure.com,US,0
Yakima Valley Community College,yvcc.instructure.com,US,0
Yale University,yale.instructure.com,US,1
Yavapai College Non-Credit Login,canvas.yc.edu,US,0
Yeshiva University - learnonline.yu.edu,learnonline.yu.edu,US,0
York Academy Regional Charter School,yorkarcs.instructure.com,US,0
Yuba Community College District,yccd.instructure.com,US,0
British University Vietnam,buv.instructure.com,VN,1
Fulbright University Vietnam,fuv.instructure.com,VN,1
TOS - The Olympia Schools,lms.theolympiaschools.edu.vn,VN,0
Inscape Education Group,canvas.inscape.co.za,ZA,0
University of the Witwatersrand,ulwazi.wits.ac.za,ZA,1
a Seoul School of Integrated Sciences & Technologies,assist.instructure.com,,0
"A.T. Still University, ATSU",atsu.instructure.com,,0
AAA Academy,aaaacademy.instructure.com,,0
Aaniiih Nakoda College,ancollege.instructure.com,,0
Abbotsleigh School for Girls,abbotsleigh.instructure.com,,0
Abilene Christian University,acu.instructure.com,,0
Abington Friends School,afs.instructure.com,,0
ABS Institute of Management,absinstitute.instructure.com,,0
Academia Medical Institute,amiohio.instructure.com,,0
Academie voor Geesteswetenschappen Utrecht,avgu.instructure.com,,0
Academy Aviation,academyaviationonline.instructure.com,,0
Academy for Urban Scholars Youngstown,ausychangingculture.instructure.com,,0
Academy of Endoscopy,endoscopy.instructure.com,,0
Academy of Health,academyh.instructure.com,,0
Academy of Interactive Entertainment,aie.instructure.com,,0
"Academy of Math, Engineering and Science",ames.instructure.com,,0
Academy of Notre Dame De Namur,ndapa.instructure.com,,0
Academy of Pepe Life,yelyzavetapiankova.instructure.com,,0
Academy Texas OnCourse,texasoncourse.instructure.com,,0
Acalanes Adult Education,auhsdadulted.instructure.com,,0
Acalanes Union High,acalanes.instructure.com,,0
Accelerated Academy,adaa.instructure.com,,0
ACCLM - Australasian College of Care Leadership and Management,acclm.instructure.com,,0
ACE Community Colleges,acecolleges.instructure.com,,0
ACS Education,acseducation.instructure.com,,0
Actuaries Institute,actuaries.instructure.com,,0
ACUE - Association of College and University Educators,acue.instructure.com,,0
Adelaide Institute of Business and Technology,aibt.instructure.com,,0
Adelaide Institute of Higher Ed,aihecanvas.instructure.com,,0
Adelaide International School,ais.instructure.com,,0
Aden International Business School,aden.instructure.com,,0
Adler Graduate School,adlergraduateschool.instructure.com,,0
Adler University,adler.instructure.com,,0
Adrian College,adrian.instructure.com,,0
Advanced College,advancedcollege.instructure.com,,0
AdventHealth University,ahu.instructure.com,,0
Affton Schools,afftonschools.instructure.com,,0
Africa Institute,gsu.instructure.com,,0
African Leadership Academy,africanleadershipacademy.instructure.com,,0
African School of Governance,asg.instructure.com,,0
Agnes Scott College,agnesscott.instructure.com,,0
Agricultural University of Iceland,lbhi.instructure.com,,0
Aim Academy,aimacademy.instructure.com,,0
Ainey - McCullers School of the Arts - MCSD Teachers/Students,mcsd.instructure.com,,0
Air Rescue College - ÖAMTC Flugrettung,airrescuecollege.instructure.com,,0
Akademiet Foresatte,akademiet.instructure.com,,0
Akilah Institute,akilah.instructure.com,,0
Al Akhawayn University,aui.instructure.com,,0
Al Siraat College,alsiraat.instructure.com,,0
Al Zahra College,azc.instructure.com,,0
Alabama Banking School,abs.instructure.com,,0
Alabama College of Osteopathic Medicine,acom.instructure.com,,0
Alabama State University,alasu.instructure.com,,0
Alamance-Burlington Schools,abss.instructure.com,,0
Alameda County Office of Education,acoe.instructure.com,,0
Alamein International University,aiu.instructure.com,,0
Alamo Colleges,alamo.instructure.com,,0
Alaska Career College,alaskacareercollege.instructure.com,,0
Albany College of Pharmacy and Health Sciences,acphs.instructure.com,,0
Albany Law School,albanylaw.instructure.com,,0
Albert Einstein College of Medicine,aecm.instructure.com,,0
Alberta College of Aeronautics,acaeronautics.instructure.com,,0
Albertus Magnus College,albertus.instructure.com,,0
Albizu University,albizu.instructure.com,,0
Albright College,albright.instructure.com,,0
Albuquerque Academy,aa.instructure.com,,0
Alcorn State University,alcorn.instructure.com,,0
Aldar Education Admins,cs1.instructure.com,,0
Alder Graduate School of Education,aldergse.instructure.com,,0
Alesco Secondary College,atwea.instructure.com,,0
Alex Carey University,acarey.instructure.com,,0
Alexander College,alexandercollege.instructure.com,,0
Alfred University,alfredu.instructure.com,,0
ALIAC - Air Link International Aviation College,aliac.instructure.com,,0
Alice L. Walton School of Medicine,awsom.instructure.com,,0
Alice Lloyd College,alicelloydcollege.instructure.com,,0
All Dorsey Colleges,dorsey.instructure.com,,0
All Saints College,allsaintscollege.instructure.com,,0
All Saints Grammar,allsaints.instructure.com,,0
All Saints University School of Medicine,allsaintsuniversity.instructure.com,,0
All Skills College,allskills.instructure.com,,0
All State Career School,allstate.instructure.com,,0
Allan Hancock College,hancockcollege.instructure.com,,0
Allegheny College,allegheny.instructure.com,,0
Allen University,allenuniversity.instructure.com,,0
Allendale Columbia School,ac.instructure.com,,0
Alliant International University,arist.instructure.com,,0
Alma College,almacollege.instructure.com,,0
Alphabet Education,alphabet.instructure.com,,0
Alternative Education,alted.instructure.com,,0
ALU Education,alueducation.instructure.com,,0
Alvernia University,alvernia.instructure.com,,0
Amazon Technical Academy,ata.instructure.com,,0
Ambassador High School,ambassador.instructure.com,,0
Ambition Institute,ambition.instructure.com,,0
Ambria College of Nursing,ambria.instructure.com,,0
American Academy of Art College,aaart.instructure.com,,0
American Academy of Dramatic Arts,aada.instructure.com,,0
American Association of Colleges of Osteopathic Medicine,aacom.instructure.com,,0
American Baptist College,abcnash.instructure.com,,0
American College of Education,ace.instructure.com,,0
American College of Healthcare Sciences,achs.instructure.com,,0
American Film Institute,afi.instructure.com,,0
American Heritage School,american-heritage.instructure.com,,0
American Institute,ai.instructure.com,,0
American Institute for Foreign Study,aifs.instructure.com,,0
American International College,aic.instructure.com,,0
American International University Kuwait,aiuk.instructure.com,,0
American Leadership Academy,americanleadership.instructure.com,,0
American Medical Academy,ama.instructure.com,,0
American Montessori Society,amshq.instructure.com,,0
American National University,anu.instructure.com,,0
American Renaissance School,ars.instructure.com,,0
American Tamil Academy,americantamilacademy.instructure.com,,0
American University Kyiv,auk.instructure.com,,0
American University of Afghanistan - AUAF,auaf.instructure.com,,0
American University of Bahrain,aubh.instructure.com,,0
American University of Health Sciences,auhs.instructure.com,,0
American University of Phnom Penh - Google,aupp.instructure.com,,0
American University School Education - AU SOE,soeonline-american.instructure.com,,0
American Virtual Academy,americanvirtualacademy.instructure.com,,0
Amerion College,amerion.instructure.com,,0
Amity Future Academy,amityfutureacademy.instructure.com,,0
AMLFC Institute,amlfcinstitute.instructure.com,,0
Amridge University,amridgeuniversity.instructure.com,,0
Amtech Institute,amtech.instructure.com,,0
Ana G Mendez University,agmu.instructure.com,,0
Analytics Institute of Australia,analyticsinstitute.instructure.com,,0
Ancillae Assumpta Academy,ancillae.instructure.com,,0
Andeel Teacher Literacy Institute,funlearn.instructure.com,,0
Anderson Community Schools- Parent,acsc.instructure.com,,0
Anderson University,anderson.instructure.com,,0
Andres R University,arojascruz.instructure.com,,0
Angeles Institute,angeles.instructure.com,,0
Angeles University Foundation,auf.instructure.com,,0
Anglia Ruskin University,anglia.instructure.com,,0
Anglicare College,anglicare.instructure.com,,0
Annandale Christian College,acc-qld.instructure.com,,0
Annoor Academy of Chattanooga,annoor.instructure.com,,0
Ansgar Teologiske Høgskole,ansgar.instructure.com,,0
Antelope Valley College,avc.instructure.com,,0
Antioch College,antioch.instructure.com,,0
AOBA Saturday School,aoba.instructure.com,,0
Apex Academy,apexacademyonline.instructure.com,,0
APEX Christian Academy,apex.instructure.com,,0
Apostolic Bible Institute,apostolicbible.instructure.com,,0
App Academy,appacademy.instructure.com,,0
Appalachian Bible College,abc.instructure.com,,0
Appalachian State University,appstate.instructure.com,,0
Apple Education,apple-education.instructure.com,,0
Appleby College,appleby.instructure.com,,0
AppleTree Institute,appletree.instructure.com,,0
Applied Property Development Institute,apdinstitute.instructure.com,,0
Appraisal Institute,appraisalinstitute.instructure.com,,0
Aquarius Institute,aquariusinstitute.instructure.com,,0
Aquinas High School,aquinashs.instructure.com,,0
Arcadia College,arcadiacollege.instructure.com,,0
Arcadia University,arcadia.instructure.com,,0
Archbishop Edward A McCarthy High School,mccarthyhigh.instructure.com,,0
Archbishop Hannan High School,hannanhigh.instructure.com,,0
Archbishop Hoban High School,hoban.instructure.com,,0
Archbishop Mitty High School,mitty.instructure.com,,0
Archbishop Murphy High School,am-hs.instructure.com,,0
Archbishop Rummel High School,rummelraiders.instructure.com,,0
Archbishop Spalding High School,spaldinghs.instructure.com,,0
Arendell Parrott Academy,parrottacademy.instructure.com,,0
Argo Community High School,argohs.instructure.com,,0
Argos Community Schools,argosschools.instructure.com,,0
Ariel College of the Bible and Messianic Jewish Studies,ariel.instructure.com,,0
Aristoi Classical Academy,aristoiclassical.instructure.com,,0
Arizona Christian University,arizonachristian.instructure.com,,0
Arizona College,arizonacollege.instructure.com,,0
Arizona College of Allied Health,azcalliedhealth.instructure.com,,0
Arizona School For The Arts,goasa.instructure.com,,0
Arizona Western College,azwestern.instructure.com,,0
Arkansas College of Health Education,ache.instructure.com,,0
Arkansas Department of Career Education,aalrc.instructure.com,,0
Arkansas State University,arkansasstateuniversity.instructure.com,,0
Arkansas State University - Mid South,asumidsouth.instructure.com,,0
Arkansas State University - Mountain Home,asumh.instructure.com,,0
Arkansas State University - Three Rivers,asutr.instructure.com,,0
Arkansas State University Newport,asun.instructure.com,,0
Arkansas State University-Beebe,asubeebe.instructure.com,,0
Arlington Baptist University,abu.instructure.com,,0
Arlington Community Schools,acsk-12.instructure.com,,0
Arma Dei Academy,armadeiacademy.instructure.com,,0
Armidale Secondary College,armidale-s.instructure.com,,0
ArtCenter College of Design,artcenter.instructure.com,,0
Artemis Academie,artemisacademie.instructure.com,,0
Arts University Plymouth,arts.instructure.com,,0
Asbury Theological Seminary,asburyseminary.instructure.com,,0
Ascend Leadership Academy: Lee County,alacademy.instructure.com,,0
Ascension Christian School,aclions.instructure.com,,0
Ascent Academies of Utah,ascentutah.instructure.com,,0
Asheboro City Schools,asheboro.instructure.com,,0
Asheville City Schools,acs.instructure.com,,0
Ashland City Schools,goarrows.instructure.com,,0
ASHP Research and Education Foundation,ashp.instructure.com,,0
Ashton Sixth Form College,asfc.instructure.com,,0
Asia Pacific International College,apic.instructure.com,,0
Asian Institute of Hospitality Management,aihmth.instructure.com,,0
Aspen Academy,aspenacademy.instructure.com,,0
Asrary Schools مدارس أسراري,asrary.instructure.com,,0
Asset STEM Education,assetinc.instructure.com,,0
Association of Commonwealth Universities,aculms.instructure.com,,0
Assumption Catholic School,assumptionjax.instructure.com,,0
Assyrian Christian Schools,acsnsw.instructure.com,,0
Astra Institute of Higher Education,astra.instructure.com,,0
ASU Education for Humanity,asuce.instructure.com,,0
ASU Prep AZ- Staff/Teachers,asuprepaz.instructure.com,,0
Athens State University,athensstate.instructure.com,,0
Atlanta Institute of Music,aimm.instructure.com,,0
Atlantic University,atlanticu.instructure.com,,0
Aubrick - Escola Bilingue Multicultural,aubrick.instructure.com,,0
Auburn University at Montgomery,aum.instructure.com,,0
Augustana University,augie.instructure.com,,0
Augustine Institute,augustine.instructure.com,,0
AUIB - American University of Iraq Baghdad,auib.instructure.com,,0
Aurora College,aurora.instructure.com,,0
Auschwitz Institute for Peace and Reconciliation,auschwitzinstitute.instructure.com,,0
